1625747529471- 结果：0.768144(D).jpg-0.79.jpg
1625748851126- 结果：0.939257(D).jpg-0.88.jpg
1625748851179- 结果：0.922303(T).jpg-0.92.jpg
1625748851231- 结果：0.922303(T).jpg-0.93.jpg
1625748851283- 结果：0.761716(T).jpg-0.95.jpg
1625748851334- 结果：0.918189(T).jpg-0.95.jpg
1625748860861- 结果：0.249956(D).jpg-0.53.jpg
1625748860917- 结果：0.178408(T).jpg-0.55.jpg
1625748860969- 结果：0.259985(T).jpg-0.56.jpg
1625748861025- 结果：0.259985(T).jpg-0.5.jpg
1625748861075- 结果：0.151178(T).jpg-0.54.jpg
1625748880170- 结果：0.082396(D).jpg-0.29.jpg
1625748880219- 结果：0.037255(T).jpg-0.37.jpg
1625749056468- 结果：0.18869(T).jpg-0.3.jpg
1625749056519- 结果：0.148252(T).jpg-0.3.jpg
1625749075834- 结果：0.169291(D).jpg-0.07.jpg
1625749075888- 结果：0.063961(T).jpg-0.03.jpg
1625749075940- 结果：0.077989(T).jpg-0.0.jpg
1625749075992- 结果：0.023331(T).jpg-0.0.jpg
1625749076044- 结果：0.020089(T).jpg-0.0.jpg
1625749095717- 结果：0.009615(D).jpg-0.07.jpg
1625749095769- 结果：0.03736(T).jpg-0.07.jpg
1625749095821- 结果：0.03736(T).jpg-0.07.jpg
1625749095872- 结果：0.049594(T).jpg-0.02.jpg
1625749095922- 结果：0.0092(T).jpg-0.02.jpg
1625749104824- 结果：0.110326(D).jpg-0.04.jpg
1625749104879- 结果：0.052249(T).jpg-0.02.jpg
1625749506065- 结果：0.171489(T).jpg-0.58.jpg
1625749506117- 结果：0.094439(T).jpg-0.5.jpg
1625749506169- 结果：0.18456(T).jpg-0.5.jpg
1625749516286- 结果：0.271549(D).jpg-0.65.jpg
1625749516350- 结果：0.409991(T).jpg-0.49.jpg
1625749516402- 结果：0.409991(T).jpg-0.43.jpg
1625749516453- 结果：0.508446(T).jpg-0.25.jpg
1625749516504- 结果：0.390004(T).jpg-0.25.jpg
1625749526421- 结果：0.789576(D).jpg-0.31.jpg
1625749526478- 结果：0.321184(T).jpg-0.55.jpg
1625749526529- 结果：0.413851(T).jpg-0.68.jpg
1625749526578- 结果：0.812178(T).jpg-0.55.jpg
1625749526629- 结果：0.74731(T).jpg-0.55.jpg
1625749604909- 结果：0.011421(T).jpg-0.07.jpg
1625749604962- 结果：0.01246(T).jpg-0.07.jpg
1625749605438- 结果：0.011169(D).jpg-0.05.jpg
1625749605498- 结果：0.012999(T).jpg-0.02.jpg
1625749605777- 结果：0.007363(D).jpg-0.05.jpg
1625749611980- 结果：0.839019(T).jpg-0.95.jpg
1625749612033- 结果：0.618825(D).jpg-0.89.jpg
1625749612084- 结果：0.854587(T).jpg-0.94.jpg
1625749612135- 结果：0.849827(T).jpg-0.94.jpg
1625749612186- 结果：0.795069(T).jpg-0.9.jpg
1625749612239- 结果：0.795069(T).jpg-0.49.jpg
1625749622057- 结果：0.875996(D).jpg-0.94.jpg
1625749622108- 结果：0.854696(T).jpg-0.84.jpg
1625749622158- 结果：0.854696(T).jpg-0.87.jpg
1625749537689- 结果：0.889092(D).jpg-0.89.jpg
1625749569299- 结果：0.070936(T).jpg-0.01.jpg
1625749603051- 结果：0.037971(D).jpg-0.05.jpg
1625749604854- 结果：0.011421(T).jpg-0.09.jpg
1625749622215- 结果：0.851171(T).jpg-0.85.jpg
1625749654505- 结果：0.039382(T).jpg-0.18.jpg
1625749699030- 结果：0.958331(T).jpg-0.94.jpg
1625749752946- 结果：0.014367(T).jpg-0.23.jpg
1625749795336- 结果：0.530221(T).jpg-0.53.jpg
1625749828732- 结果：0.720026(T).jpg-0.68.jpg
1625749884511- 结果：0.02979(T).jpg-0.08.jpg
1625749941206- 结果：1.390000000E-4(T).jpg-0.0.jpg
1625750110736- 结果：0.8706(T).jpg-0.96.jpg
1625750110789- 结果：0.880488(T).jpg-0.97.jpg
1625750110841- 结果：0.792832(T).jpg-0.98.jpg
1625750110893- 结果：0.836216(T).jpg-0.98.jpg
1625750123080- 结果：0.336614(D).jpg-0.7.jpg
1625750123138- 结果：0.468479(T).jpg-0.62.jpg
1625750123190- 结果：0.468479(T).jpg-0.62.jpg
1625750123242- 结果：0.473928(T).jpg-0.57.jpg
1625750123293- 结果：0.38963(T).jpg-0.57.jpg
1625750145865- 结果：0.457846(D).jpg-0.02.jpg
1625750146135- 结果：0.016158(D).jpg-0.01.jpg
1625750146196- 结果：0.004487(T).jpg-0.0.jpg
1625750146249- 结果：0.005835(T).jpg-0.01.jpg
1625750146303- 结果：0.004322(T).jpg-0.01.jpg
1625750146356- 结果：0.004722(T).jpg-0.01.jpg
1625750157214- 结果：0.107684(D).jpg-0.5.jpg
1625750157269- 结果：0.03761(T).jpg-0.49.jpg
1625750157320- 结果：0.03761(T).jpg-0.5.jpg
1625750157378- 结果：0.033851(T).jpg-0.34.jpg
1625750157430- 结果：0.077308(T).jpg-0.25.jpg
1625750264460- 结果：0.016098(D).jpg-0.07.jpg
1625750264520- 结果：0.022396(T).jpg-0.08.jpg
1625750264571- 结果：0.021686(T).jpg-0.08.jpg
1625750264625- 结果：0.013168(T).jpg-0.08.jpg
1625750264676- 结果：0.013168(T).jpg-0.12.jpg
1625750265237- 结果：0.030563(D).jpg-0.05.jpg
1625750265290- 结果：0.006775(T).jpg-0.01.jpg
1625750265343- 结果：0.006775(T).jpg-0.0.jpg
1625750265397- 结果：0.01087(T).jpg-0.01.jpg
1625750265453- 结果：0.024821(T).jpg-0.01.jpg
1625750273121- 结果：0.060449(D).jpg-0.38.jpg
1625750273174- 结果：0.108682(T).jpg-0.38.jpg
1625750273225- 结果：0.119994(T).jpg-0.38.jpg
1625750273272- 结果：0.119994(T).jpg-0.26.jpg
1625750273320- 结果：0.138781(T).jpg-0.31.jpg
1625750286261- 结果：0.54443(D).jpg-0.66.jpg
1625750286320- 结果：0.297074(T).jpg-0.61.jpg
1625750286372- 结果：0.309051(T).jpg-0.61.jpg
1625750286425- 结果：0.092469(T).jpg-0.34.jpg
1625750286480- 结果：0.092469(T).jpg-0.15.jpg
1625750296478- 结果：0.462146(D).jpg-0.44.jpg
1625750296533- 结果：0.338271(T).jpg-0.37.jpg
1625750296583- 结果：0.319663(T).jpg-0.47.jpg
1625750296632- 结果：0.271858(T).jpg-0.47.jpg
1625750296682- 结果：0.23983(T).jpg-0.49.jpg
1625750309098- 结果：0.281013(D).jpg-0.0.jpg
1625750654317- 结果：0.281575(D).jpg-0.6.jpg
1625750654371- 结果：0.6535(T).jpg-0.6.jpg
1625750654419- 结果：0.689506(T).jpg-0.69.jpg
1625750654469- 结果：0.689506(T).jpg-0.77.jpg
1625750654519- 结果：0.631691(T).jpg-0.64.jpg
1625750666593- 结果：0.379788(D).jpg-0.57.jpg
1625750666644- 结果：0.250287(T).jpg-0.48.jpg
1625750666691- 结果：0.203269(T).jpg-0.48.jpg
1625750666743- 结果：0.203269(T).jpg-0.55.jpg
1625750666792- 结果：0.143078(T).jpg-0.56.jpg
1625750679375- 结果：0.347469(D).jpg-0.36.jpg
1625750679432- 结果：0.023547(T).jpg-0.13.jpg
1625750679484- 结果：0.050835(T).jpg-0.38.jpg
1625750679536- 结果：0.050835(T).jpg-0.12.jpg
1625750679589- 结果：0.044083(T).jpg-0.26.jpg
1625750703890- 结果：0.97959(D).jpg-0.95.jpg
1625750703946- 结果：0.923781(T).jpg-0.97.jpg
1625750703998- 结果：0.923781(T).jpg-0.96.jpg
1625750704051- 结果：0.94719(T).jpg-0.95.jpg
1625750704105- 结果：0.955352(T).jpg-0.95.jpg
1625750716047- 结果：0.012634(D).jpg-0.32.jpg
1625750716108- 结果：0.003256(T).jpg-0.27.jpg
1625750716161- 结果：9.590000000E-4(T).jpg-0.4.jpg
1625750716213- 结果：0.001362(T).jpg-0.4.jpg
1625750716273- 结果：5.840000000E-4(T).jpg-0.36.jpg
1625751143061- 结果：0.767977(T).jpg-0.64.jpg
1625751143731- 结果：0.373037(D).jpg-0.48.jpg
1625751144000- 结果：0.356117(D).jpg-0.05.jpg
1625751151477- 结果：0.9466(D).jpg-0.99.jpg
1625751151535- 结果：0.989644(T).jpg-0.98.jpg
1625751151586- 结果：0.989946(T).jpg-0.97.jpg
1625751151637- 结果：0.989946(T).jpg-0.98.jpg
1625751151689- 结果：0.99075(T).jpg-0.97.jpg
1625751163535- 结果：0.152234(D).jpg-0.32.jpg
1625751163585- 结果：0.147375(T).jpg-0.32.jpg
1625751163633- 结果：0.147375(T).jpg-0.33.jpg
1625751163682- 结果：0.12855(T).jpg-0.42.jpg
1625751163730- 结果：0.129434(T).jpg-0.42.jpg
1625751176460- 结果：0.303162(D).jpg-0.92.jpg
1625751176510- 结果：0.68151(T).jpg-0.79.jpg
1625751553687- 结果：0.019052(T).jpg-0.06.jpg
1625751566999- 结果：0.974525(D).jpg-0.84.jpg
1625751567059- 结果：0.965507(T).jpg-0.94.jpg
1625751567112- 结果：0.96183(T).jpg-0.78.jpg
1625751567166- 结果：0.96183(T).jpg-0.81.jpg
1625751567219- 结果：0.966276(T).jpg-0.77.jpg
1625751579662- 结果：0.930252(D).jpg-0.87.jpg
1625751579728- 结果：0.663416(T).jpg-0.69.jpg
1625751579784- 结果：0.717107(T).jpg-0.5.jpg
1625751579837- 结果：0.708305(T).jpg-0.48.jpg
1625751580096- 结果：0.708305(D).jpg-0.46.jpg
1625751580152- 结果：0.810916(T).jpg-0.58.jpg
1625751580206- 结果：0.764279(T).jpg-0.5.jpg
1625751995013- 结果：0.956905(D).jpg-0.64.jpg
1625751995071- 结果：0.92592(T).jpg-0.79.jpg
1625751995124- 结果：0.611226(T).jpg-0.67.jpg
1625751995177- 结果：0.498782(T).jpg-0.67.jpg
1625751995230- 结果：0.581358(T).jpg-0.77.jpg
1625752008637- 结果：0.073925(D).jpg-0.0.jpg
1625752008694- 结果：0.009482(T).jpg-0.01.jpg
1625752008749- 结果：0.009482(T).jpg-0.01.jpg
1625752008804- 结果：0.017973(T).jpg-0.0.jpg
1625752008858- 结果：0.003507(T).jpg-0.0.jpg
1625752021895- 结果：0.1378(D).jpg-0.0.jpg
1625752021948- 结果：0.308464(T).jpg-0.0.jpg
1625752022000- 结果：0.308464(T).jpg-0.0.jpg
1625752022051- 结果：0.338074(T).jpg-0.0.jpg
1625752022102- 结果：0.35616(T).jpg-0.0.jpg
1625752035532- 结果：0.998108(D).jpg-0.98.jpg
1625752035590- 结果：0.997954(T).jpg-0.93.jpg
1625752035643- 结果：0.998629(T).jpg-0.98.jpg
1625750950931- 结果：0.575701(D).jpg-0.9.jpg
1625750950984- 结果：0.737661(T).jpg-0.86.jpg
1625750951037- 结果：0.737661(T).jpg-0.83.jpg
1625750951089- 结果：0.735508(T).jpg-0.89.jpg
1625750951142- 结果：0.694627(T).jpg-0.94.jpg
1625750962855- 结果：0.998979(D).jpg-0.99.jpg
1625750962911- 结果：0.998916(T).jpg-0.99.jpg
1625750962965- 结果：0.998906(T).jpg-0.99.jpg
1625750963019- 结果：0.9963(T).jpg-0.97.jpg
1625750963073- 结果：0.993073(T).jpg-0.97.jpg
1625750974735- 结果：0.541484(D).jpg-0.48.jpg
1625750974834- 结果：0.054222(T).jpg-0.02.jpg
1625750974898- 结果：0.054222(T).jpg-0.03.jpg
1625750974969- 结果：0.076659(T).jpg-0.02.jpg
1625750975037- 结果：0.067611(T).jpg-0.02.jpg
1625750987928- 结果：0.098151(D).jpg-0.03.jpg
1625750987994- 结果：0.032287(T).jpg-0.03.jpg
1625750988048- 结果：0.017225(T).jpg-0.02.jpg
1625750988103- 结果：0.017225(T).jpg-0.04.jpg
1625750988157- 结果：0.013239(T).jpg-0.04.jpg
1625751420043- 结果：0.942664(D).jpg-0.89.jpg
1625751420094- 结果：0.704799(T).jpg-0.86.jpg
1625751420142- 结果：0.704799(T).jpg-0.8.jpg
1625751420193- 结果：0.649048(T).jpg-0.8.jpg
1625751420245- 结果：0.771075(T).jpg-0.99.jpg
1625751447245- 结果：0.840747(D).jpg-0.46.jpg
1625751447302- 结果：0.700465(T).jpg-0.67.jpg
1625751447354- 结果：0.650753(T).jpg-0.53.jpg
1625751447407- 结果：0.650753(T).jpg-0.48.jpg
1625751447674- 结果：0.182934(T).jpg-0.26.jpg
1625751447731- 结果：0.61973(D).jpg-0.21.jpg
1625751447790- 结果：0.568191(T).jpg-0.2.jpg
1625751447843- 结果：0.4383(T).jpg-0.27.jpg
1625751448141- 结果：0.320334(D).jpg-0.25.jpg
1625751448199- 结果：0.375925(T).jpg-0.31.jpg
1625751448252- 结果：0.319748(T).jpg-0.31.jpg
1625751448304- 结果：0.282555(T).jpg-0.18.jpg
1625751753424- 结果：0.295734(T).jpg-0.52.jpg
1625751753475- 结果：0.276063(T).jpg-0.3.jpg
1625751753759- 结果：0.086184(D).jpg-0.67.jpg
1625751753819- 结果：0.233597(T).jpg-0.78.jpg
1625751753872- 结果：0.45454(T).jpg-0.72.jpg
1625751753925- 结果：0.398994(T).jpg-0.72.jpg
1625751753977- 结果：0.309328(T).jpg-0.8.jpg
1625751754877- 结果：0.34105(D).jpg-0.74.jpg
1625751754936- 结果：0.292407(T).jpg-0.74.jpg
1625751754989- 结果：0.386897(T).jpg-0.81.jpg
1625751755041- 结果：0.355349(T).jpg-0.74.jpg
1625751755094- 结果：0.355349(T).jpg-0.78.jpg
1625751755940- 结果：0.428035(D).jpg-0.73.jpg
1625751755998- 结果：0.284193(T).jpg-0.73.jpg
1625751756055- 结果：0.44895(T).jpg-0.69.jpg
1625751756110- 结果：0.37758(T).jpg-0.77.jpg
1625751756163- 结果：0.37758(T).jpg-0.84.jpg
1625751757353- 结果：0.454136(D).jpg-0.84.jpg
1625751757411- 结果：0.336653(T).jpg-0.77.jpg
1625751757465- 结果：0.416829(T).jpg-0.77.jpg
1625751757517- 结果：0.400508(T).jpg-0.74.jpg
1625751757571- 结果：0.400508(T).jpg-0.05.jpg
1625752159496- 结果：2.490000000E-4(T).jpg-0.0.jpg
1625752172632- 结果：0.420837(D).jpg-0.59.jpg
1625752172690- 结果：0.614948(T).jpg-0.55.jpg
1625752172743- 结果：0.582822(T).jpg-0.54.jpg
1625752172797- 结果：0.599277(T).jpg-0.54.jpg
1625752172851- 结果：0.492192(T).jpg-0.56.jpg
1625752185994- 结果：0.854894(D).jpg-0.24.jpg
1625752186045- 结果：0.351639(T).jpg-0.31.jpg
1625752186094- 结果：0.276332(T).jpg-0.22.jpg
1625752186144- 结果：0.276332(T).jpg-0.16.jpg
1625752186193- 结果：0.287967(T).jpg-0.31.jpg
1625752200298- 结果：0.193099(D).jpg-0.45.jpg
1625752200362- 结果：0.465679(T).jpg-0.65.jpg
1625752200417- 结果：0.465679(T).jpg-0.68.jpg
1625752200471- 结果：0.55988(T).jpg-0.52.jpg
1625752200523- 结果：0.529944(T).jpg-0.36.jpg
1625752214256- 结果：0.350399(D).jpg-0.99.jpg
1625752214312- 结果：0.892013(T).jpg-1.0.jpg
1625752214366- 结果：0.865673(T).jpg-0.99.jpg
1625752214419- 结果：0.745349(T).jpg-0.99.jpg
1625752214474- 结果：0.745349(T).jpg-0.93.jpg
1625752227241- 结果：0.994992(D).jpg-0.49.jpg
1625752227298- 结果：0.842587(T).jpg-0.08.jpg
1625752227350- 结果：0.850327(T).jpg-0.08.jpg
1625752227405- 结果：0.850327(T).jpg-0.2.jpg
1625752227457- 结果：0.895802(T).jpg-0.49.jpg
1625752838146- 结果：0.53318(T).jpg-0.53.jpg
1625752838196- 结果：0.53318(T).jpg-0.7.jpg
1625752838251- 结果：0.662131(T).jpg-0.74.jpg
1625752838301- 结果：0.627926(T).jpg-0.71.jpg
1625752852543- 结果：0.493386(D).jpg-0.09.jpg
1625752852603- 结果：0.068644(T).jpg-0.32.jpg
1625752852653- 结果：0.068644(T).jpg-0.26.jpg
1625752852703- 结果：0.076281(T).jpg-0.4.jpg
1625752852753- 结果：0.170725(T).jpg-0.4.jpg
1625752868689- 结果：0.240679(D).jpg-0.67.jpg
1625752868746- 结果：0.300283(T).jpg-0.67.jpg
1625752868798- 结果：0.271553(T).jpg-0.71.jpg
1625752868850- 结果：0.271553(T).jpg-0.72.jpg
1625752868902- 结果：0.306754(T).jpg-0.71.jpg
1625752882070- 结果：0.84914(D).jpg-0.45.jpg
1625752882121- 结果：0.705791(T).jpg-0.45.jpg
1625752882170- 结果：0.705791(T).jpg-0.42.jpg
1625752882219- 结果：0.66749(T).jpg-0.44.jpg
1625752882271- 结果：0.603282(T).jpg-0.44.jpg
1625752896948- 结果：0.936579(D).jpg-0.92.jpg
1625752897005- 结果：0.987277(T).jpg-0.94.jpg
1625752897057- 结果：0.960008(T).jpg-0.94.jpg
1625750475972- 结果：0.73708(T).jpg-0.92.jpg
1625750476024- 结果：0.461935(T).jpg-0.87.jpg
1625750476081- 结果：0.461935(T).jpg-0.97.jpg
1625750476892- 结果：0.771615(D).jpg-0.95.jpg
1625750476950- 结果：0.837535(T).jpg-0.98.jpg
1625750477006- 结果：0.837535(T).jpg-0.98.jpg
1625750477059- 结果：0.848631(T).jpg-0.98.jpg
1625750477112- 结果：0.775099(T).jpg-0.98.jpg
1625750478707- 结果：0.825433(D).jpg-0.98.jpg
1625750478767- 结果：0.855575(T).jpg-0.99.jpg
1625750478820- 结果：0.853835(T).jpg-0.98.jpg
1625750478874- 结果：0.853835(T).jpg-0.99.jpg
1625750478928- 结果：0.824477(T).jpg-0.99.jpg
1625750498377- 结果：0.972663(D).jpg-0.76.jpg
1625750498438- 结果：0.971436(T).jpg-0.78.jpg
1625750498498- 结果：0.96132(T).jpg-0.78.jpg
1625750498551- 结果：0.952557(T).jpg-0.61.jpg
1625750498605- 结果：0.952557(T).jpg-0.63.jpg
1625750511370- 结果：0.926235(D).jpg-0.82.jpg
1625752394318- 结果：0.913836(T).jpg-0.56.jpg
1625752394371- 结果：0.924926(T).jpg-0.56.jpg
1625752394423- 结果：0.911368(T).jpg-0.64.jpg
1625752394477- 结果：0.911368(T).jpg-0.41.jpg
1625752408270- 结果：0.025254(D).jpg-0.0.jpg
1625752408352- 结果：0.003395(T).jpg-0.0.jpg
1625752408401- 结果：0.003395(T).jpg-0.0.jpg
1625752408450- 结果：0.001868(T).jpg-0.05.jpg
1625752408500- 结果：0.002708(T).jpg-0.05.jpg
1625752436485- 结果：0.223802(D).jpg-0.24.jpg
1625752436541- 结果：0.150908(T).jpg-0.14.jpg
1625752436593- 结果：0.129183(T).jpg-0.16.jpg
1625752436646- 结果：0.121214(T).jpg-0.19.jpg
1625752436696- 结果：0.133491(T).jpg-0.19.jpg
1625752450500- 结果：0.788829(D).jpg-0.72.jpg
1625752450553- 结果：0.790281(T).jpg-0.71.jpg
1625752450601- 结果：0.795227(T).jpg-0.63.jpg
1625752450650- 结果：0.795227(T).jpg-0.97.jpg
1625752450699- 结果：0.939897(T).jpg-0.97.jpg
1625752465283- 结果：0.384258(D).jpg-0.62.jpg
1625750042830- 结果：0.946899(T).jpg-0.93.jpg
1625750057029- 结果：0.002255(T).jpg-0.06.jpg
1625750110679- 结果：0.913021(D).jpg-0.97.jpg
1625750168355- 结果：0.667405(D).jpg-0.5.jpg
1625750215783- 结果：0.376209(T).jpg-0.74.jpg
1625750264120- 结果：0.017735(T).jpg-0.07.jpg
1625750309154- 结果：0.015581(T).jpg-0.0.jpg
1625750356875- 结果：8.00000000E-6(T).jpg-0.0.jpg
1625750403647- 结果：0.321847(T).jpg-0.48.jpg
1625750439530- 结果：0.506645(T).jpg-0.47.jpg
1625750475920- 结果：0.623176(T).jpg-0.92.jpg
1625750511436- 结果：0.348489(T).jpg-0.71.jpg
1625750526158- 结果：0.311422(D).jpg-0.43.jpg
1625750547799- 结果：0.003447(T).jpg-0.01.jpg
1625751016607- 结果：0.14349(D).jpg-0.63.jpg
1625751016661- 结果：0.493621(T).jpg-0.62.jpg
1625751016714- 结果：0.396487(T).jpg-0.62.jpg
1625751016768- 结果：0.396487(T).jpg-0.26.jpg
1625751016823- 结果：0.210915(T).jpg-0.69.jpg
1625751017141- 结果：0.433679(D).jpg-0.49.jpg
1625751017196- 结果：0.428453(T).jpg-0.43.jpg
1625751017249- 结果：0.339885(T).jpg-0.43.jpg
1625751017302- 结果：0.422358(T).jpg-0.59.jpg
1625751017354- 结果：0.422358(T).jpg-0.39.jpg
1625751024922- 结果：0.895026(D).jpg-0.97.jpg
1625751024979- 结果：0.937938(T).jpg-0.98.jpg
1625751025031- 结果：0.944227(T).jpg-0.98.jpg
1625751025083- 结果：0.944227(T).jpg-0.98.jpg
1625751025136- 结果：0.918281(T).jpg-0.95.jpg
1625751292881- 结果：0.9942(T).jpg-0.93.jpg
1625751292936- 结果：0.996565(T).jpg-0.97.jpg
1625751292991- 结果：0.996565(T).jpg-0.95.jpg
1625751293045- 结果：0.995005(T).jpg-0.92.jpg
1625751304575- 结果：0.230371(D).jpg-0.44.jpg
1625751304626- 结果：0.125836(T).jpg-0.38.jpg
1625751304675- 结果：0.372518(T).jpg-0.38.jpg
1625751304725- 结果：0.446534(T).jpg-0.53.jpg
1625751304775- 结果：0.446534(T).jpg-0.59.jpg
1625751318141- 结果：0.405331(D).jpg-0.91.jpg
1625751318194- 结果：0.711054(T).jpg-0.89.jpg
1625751318243- 结果：0.711054(T).jpg-0.79.jpg
1625751318293- 结果：0.707202(T).jpg-0.72.jpg
1625751318343- 结果：0.64455(T).jpg-0.72.jpg
1625751330016- 结果：0.857977(D).jpg-0.81.jpg
1625751330066- 结果：0.764619(T).jpg-0.81.jpg
1625751330115- 结果：0.764619(T).jpg-0.93.jpg
1625751330165- 结果：0.861428(T).jpg-0.96.jpg
1625751330215- 结果：0.942356(T).jpg-0.96.jpg
1625751356600- 结果：0.0049(D).jpg-0.22.jpg
1625751356658- 结果：0.082203(T).jpg-0.19.jpg
1625751356711- 结果：0.082203(T).jpg-0.41.jpg
1625751356764- 结果：0.102597(T).jpg-0.51.jpg
1625751356818- 结果：0.081592(T).jpg-0.51.jpg
1625751459412- 结果：0.32717(D).jpg-0.42.jpg
1625751459470- 结果：0.312734(T).jpg-0.35.jpg
1625751459522- 结果：0.335172(T).jpg-0.45.jpg
1625751459573- 结果：0.301647(T).jpg-0.52.jpg
1625751459627- 结果：0.370959(T).jpg-0.52.jpg
1625751472816- 结果：0.996739(D).jpg-0.94.jpg
1625751472868- 结果：0.992974(T).jpg-0.99.jpg
1625751472920- 结果：0.992974(T).jpg-0.95.jpg
1625751472972- 结果：0.987577(T).jpg-0.94.jpg
1625751473023- 结果：0.9772(T).jpg-0.94.jpg
1625751488145- 结果：0.987757(D).jpg-0.91.jpg
1625751488203- 结果：0.817315(T).jpg-0.96.jpg
1625751488256- 结果：0.817315(T).jpg-0.96.jpg
1625751488311- 结果：0.691994(T).jpg-0.95.jpg
1625751488364- 结果：0.77076(T).jpg-0.97.jpg
1625751501949- 结果：0.927333(D).jpg-0.71.jpg
1625751650955- 结果：0.32095(T).jpg-0.64.jpg
1625751651009- 结果：0.32095(T).jpg-0.53.jpg
1625751651064- 结果：0.341548(T).jpg-0.65.jpg
1625751651118- 结果：0.28977(T).jpg-0.47.jpg
1625751659380- 结果：0.757402(D).jpg-0.99.jpg
1625751659434- 结果：0.953026(T).jpg-0.99.jpg
1625751659489- 结果：0.749345(T).jpg-0.99.jpg
1625751659543- 结果：0.749345(T).jpg-0.96.jpg
1625751659597- 结果：0.824211(T).jpg-0.98.jpg
1625751672017- 结果：0.120735(D).jpg-0.09.jpg
1625751672069- 结果：0.689554(T).jpg-0.06.jpg
1625751672123- 结果：0.689554(T).jpg-0.02.jpg
1625751672173- 结果：0.582694(T).jpg-0.01.jpg
1625751672222- 结果：0.576331(T).jpg-0.01.jpg
1625751686170- 结果：0.512509(D).jpg-0.05.jpg
1625751686229- 结果：0.262601(T).jpg-0.05.jpg
1625751686282- 结果：0.308261(T).jpg-0.05.jpg
1625751686336- 结果：0.277101(T).jpg-0.04.jpg
1625751686389- 结果：0.277101(T).jpg-0.05.jpg
1625751810580- 结果：2.650000000E-4(T).jpg-0.0.jpg
1625751818376- 结果：0.008951(D).jpg-0.45.jpg
1625751818479- 结果：0.029454(T).jpg-0.02.jpg
1625751818538- 结果：0.029454(T).jpg-0.02.jpg
1625751818614- 结果：0.026861(T).jpg-0.0.jpg
1625751818678- 结果：0.007871(T).jpg-0.0.jpg
1625751831773- 结果：0.157654(D).jpg-0.42.jpg
1625751831821- 结果：0.089814(T).jpg-0.16.jpg
1625751831868- 结果：0.089814(T).jpg-0.18.jpg
1625751831915- 结果：0.10597(T).jpg-0.19.jpg
1625751831963- 结果：0.108621(T).jpg-0.19.jpg
1625751845966- 结果：0.996967(D).jpg-1.0.jpg
1625751846020- 结果：0.99972(T).jpg-1.0.jpg
1625751846072- 结果：0.999727(T).jpg-1.0.jpg
1625752105294- 结果：0.137706(T).jpg-0.48.jpg
1625752105586- 结果：0.144279(D).jpg-0.46.jpg
1625752105646- 结果：0.368139(T).jpg-0.48.jpg
1625752105700- 结果：0.160869(T).jpg-0.48.jpg
1625752105753- 结果：0.032868(T).jpg-0.41.jpg
1625752105806- 结果：0.098639(T).jpg-0.41.jpg
1625752106328- 结果：0.289604(D).jpg-0.24.jpg
1625752106390- 结果：0.216194(T).jpg-0.28.jpg
1625752106444- 结果：0.124993(T).jpg-0.28.jpg
1625752106497- 结果：0.172709(T).jpg-0.24.jpg
1625752106769- 结果：0.301345(D).jpg-0.3.jpg
1625752106823- 结果：0.172435(T).jpg-0.26.jpg
1625752106876- 结果：0.124913(T).jpg-0.26.jpg
1625752106930- 结果：0.165114(T).jpg-0.29.jpg
1625752106983- 结果：0.165114(T).jpg-0.2.jpg
1625752108546- 结果：0.279812(D).jpg-0.25.jpg
1625752108604- 结果：0.240742(T).jpg-0.26.jpg
1625752108659- 结果：0.240742(T).jpg-0.31.jpg
1625752108713- 结果：0.189847(T).jpg-0.25.jpg
1625752108767- 结果：0.205687(T).jpg-0.22.jpg
1625752109039- 结果：0.257611(D).jpg-0.3.jpg
1625752109093- 结果：0.195114(T).jpg-0.29.jpg
1625752109145- 结果：0.245508(T).jpg-0.29.jpg
1625752109201- 结果：0.190246(T).jpg-0.35.jpg
1625752109256- 结果：0.190246(T).jpg-0.38.jpg
1625752118508- 结果：1.70000000E-5(D).jpg-0.0.jpg
1625750042881- 结果：0.946899(T).jpg-0.9.jpg
1625750042934- 结果：0.895997(T).jpg-0.85.jpg
1625750043846- 结果：0.691164(D).jpg-0.72.jpg
1625750043902- 结果：0.771241(T).jpg-0.82.jpg
1625750043955- 结果：0.771241(T).jpg-0.45.jpg
1625750044008- 结果：0.661911(T).jpg-0.87.jpg
1625750044060- 结果：0.90308(T).jpg-0.69.jpg
1625750044973- 结果：0.787879(D).jpg-0.96.jpg
1625750045032- 结果：0.801318(T).jpg-0.93.jpg
1625750045084- 结果：0.767221(T).jpg-0.94.jpg
1625750045137- 结果：0.811171(T).jpg-0.91.jpg
1625750045189- 结果：0.70092(T).jpg-0.91.jpg
1625750046066- 结果：0.83712(D).jpg-0.96.jpg
1625750046123- 结果：0.78212(T).jpg-0.96.jpg
1625750046176- 结果：0.747695(T).jpg-0.93.jpg
1625750046228- 结果：0.748525(T).jpg-0.95.jpg
1625750046281- 结果：0.748525(T).jpg-0.93.jpg
1625750047129- 结果：0.833541(D).jpg-0.55.jpg
1625750054089- 结果：0.031657(T).jpg-0.19.jpg
1625750054145- 结果：0.036945(D).jpg-0.07.jpg
1625750054198- 结果：0.008977(T).jpg-0.07.jpg
1625750054250- 结果：0.009728(T).jpg-0.07.jpg
1625750054304- 结果：0.003573(T).jpg-0.07.jpg
1625750054357- 结果：0.003573(T).jpg-0.03.jpg
