1625742520525- 结果：8.50000000E-5(D).jpg-480 新结果：2.9188898042775690000000E-4.jpg
1625748002146- 结果：0.027751(T).jpg-480 新结果：0.021236417815089226.jpg
1625748019948- 结果：0.837239(D).jpg-480 新结果：0.7693686485290527.jpg
1625748020003- 结果：0.673635(T).jpg-480 新结果：0.6920361518859863.jpg
1625748020056- 结果：0.645035(T).jpg-480 新结果：0.6103914380073547.jpg
1625748020111- 结果：0.645035(T).jpg-480 新结果：0.7632275819778442.jpg
1625748020168- 结果：0.798842(T).jpg-480 新结果：0.8696874380111694.jpg
1625748029745- 结果：0.164819(D).jpg-480 新结果：0.3427862524986267.jpg
1625748029802- 结果：0.363408(T).jpg-480 新结果：0.30122214555740356.jpg
1625748029855- 结果：0.399387(T).jpg-480 新结果：0.36676087975502014.jpg
1625748029910- 结果：0.399387(T).jpg-480 新结果：0.16349007189273834.jpg
1625748029964- 结果：0.173898(T).jpg-480 新结果：0.1867886185646057.jpg
1625748046042- 结果：0.98372(D).jpg-480 新结果：0.9318121671676636.jpg
1625748046097- 结果：0.937895(T).jpg-480 新结果：0.8817293643951416.jpg
1625748046146- 结果：0.906759(T).jpg-480 新结果：0.9285119771957397.jpg
1625748046199- 结果：0.943651(T).jpg-480 新结果：0.9285119771957397.jpg
1625748046250- 结果：0.943651(T).jpg-480 新结果：0.9116727113723755.jpg
1625748055509- 结果：0.723654(D).jpg-480 新结果：0.5701531171798706.jpg
1625748055571- 结果：0.60486(T).jpg-480 新结果：0.36327505111694336.jpg
1625748055626- 结果：0.419624(T).jpg-480 新结果：0.2713415324687958.jpg
1625748055680- 结果：0.385255(T).jpg-480 新结果：0.2713415324687958.jpg
1625748055735- 结果：0.190468(T).jpg-480 新结果：0.3302313983440399.jpg
1625748063942- 结果：0.691349(D).jpg-480 新结果：0.9608721733093262.jpg
1625748063998- 结果：0.963575(T).jpg-480 新结果：0.9596319198608398.jpg
1625748064048- 结果：0.936547(T).jpg-480 新结果：0.9540879726409912.jpg
1625748064099- 结果：0.936547(T).jpg-480 新结果：0.9599577188491821.jpg
1625748064150- 结果：0.965401(T).jpg-480 新结果：0.9653054475784302.jpg
1625748073812- 结果：0.001179(D).jpg-480 新结果：2.255535582662560000000E-5.jpg
1625748073868- 结果：5.50000000E-5(T).jpg-480 新结果：2.255535582662560000000E-5.jpg
1625748073921- 结果：2.80000000E-5(T).jpg-480 新结果：3.4097472962457690000000E-5.jpg
1625748073975- 结果：2.80000000E-5(T).jpg-480 新结果：1.73848475242266430000000E-5.jpg
1625748074029- 结果：1.90000000E-5(T).jpg-480 新结果：1.31920960484421810000000E-5.jpg
1625748082247- 结果：0.006964(D).jpg-480 新结果：4.13299159845337270000000E-4.jpg
1625748082303- 结果：3.420000000E-4(T).jpg-480 新结果：1.87804122106172140000000E-4.jpg
1625748082359- 结果：1.760000000E-4(T).jpg-480 新结果：2.071277704089880000000E-4.jpg
1625748082413- 结果：2.240000000E-4(T).jpg-480 新结果：8.2886544987559320000000E-5.jpg
1625748082464- 结果：9.00000000E-5(T).jpg-480 新结果：8.2886544987559320000000E-5.jpg
1625748090144- 结果：0.002727(D).jpg-480 新结果：0.039875227957963943.jpg
1625748090204- 结果：0.026242(T).jpg-480 新结果：0.013306166976690292.jpg
1625748090252- 结果：0.018709(T).jpg-480 新结果：0.013306166976690292.jpg
1625748090300- 结果：0.009458(T).jpg-480 新结果：0.015168363228440285.jpg
1625748090349- 结果：0.009458(T).jpg-480 新结果：0.012522931210696697.jpg
1625748099495- 结果：0.075714(D).jpg-480 新结果：0.054923415184020996.jpg
1625748099550- 结果：0.018467(T).jpg-480 新结果：0.015711229294538498.jpg
1625748099602- 结果：0.009494(T).jpg-480 新结果：0.0031786873005330563.jpg
1625748099653- 结果：0.002109(T).jpg-480 新结果：0.0031786873005330563.jpg
1625748099703- 结果：0.001731(T).jpg-480 新结果：0.001780486898496747.jpg
1625748107861- 结果：0.929046(D).jpg-480 新结果：0.9304521679878235.jpg
1625748108091- 结果：0.920907(D).jpg-480 新结果：0.9298505187034607.jpg
1625748125801- 结果：0.851654(T).jpg-480 新结果：0.9942809343338013.jpg
1625748125864- 结果：0.825739(D).jpg-480 新结果：0.9981578588485718.jpg
1625748125914- 结果：0.998278(T).jpg-480 新结果：0.9981578588485718.jpg
1625748125963- 结果：0.99782(T).jpg-480 新结果：0.9974428415298462.jpg
1625748126013- 结果：0.99782(T).jpg-480 新结果：0.9979677200317383.jpg
1625748126063- 结果：0.998635(T).jpg-480 新结果：0.9972894787788391.jpg
1625748135168- 结果：0.404486(D).jpg-480 新结果：0.4056124985218048.jpg
1625748135223- 结果：0.47317(T).jpg-480 新结果：0.423809677362442.jpg
1625748135277- 结果：0.47317(T).jpg-480 新结果：0.4886896014213562.jpg
1625748135329- 结果：0.517543(T).jpg-480 新结果：0.38067758083343506.jpg
1625748135381- 结果：0.50067(T).jpg-480 新结果：0.38067758083343506.jpg
1625748143568- 结果：0.494406(D).jpg-480 新结果：0.32932358980178833.jpg
1625748143619- 结果：0.278896(T).jpg-480 新结果：0.31784412264823914.jpg
1625748143667- 结果：0.278896(T).jpg-480 新结果：0.3478904962539673.jpg
1625748143715- 结果：0.31487(T).jpg-480 新结果：0.3505060374736786.jpg
1625748143765- 结果：0.417864(T).jpg-480 新结果：0.3505060374736786.jpg
1625748152909- 结果：0.148091(D).jpg-480 新结果：0.03129062429070473.jpg
1625748152962- 结果：0.030231(T).jpg-480 新结果：0.024003993719816208.jpg
1625748153014- 结果：0.034599(T).jpg-480 新结果：0.03262154385447502.jpg
1625748153064- 结果：0.034599(T).jpg-480 新结果：0.019902069121599197.jpg
1625748153115- 结果：0.026502(T).jpg-480 新结果：0.02166515775024891.jpg
1625748164278- 结果：0.099209(D).jpg-480 新结果：0.15948310494422913.jpg
1625748164336- 结果：0.121973(T).jpg-480 新结果：0.0767202079296112.jpg
1625748164391- 结果：0.074709(T).jpg-480 新结果：0.04589010030031204.jpg
1625748164662- 结果：0.064671(D).jpg-480 新结果：0.11325017362833023.jpg
1625748164765- 结果：0.070955(T).jpg-480 新结果：0.08020265400409698.jpg
1625748164830- 结果：0.031713(T).jpg-480 新结果：0.049803394824266434.jpg
1625748164963- 结果：0.045117(T).jpg-480 新结果：0.07857096195220947.jpg
1625748165024- 结果：0.045117(T).jpg-480 新结果：0.1000889390707016.jpg
1625748170236- 结果：0.994922(D).jpg-480 新结果：0.9393683075904846.jpg
1625748170291- 结果：0.981726(T).jpg-480 新结果：0.9790663719177246.jpg
1625748170340- 结果：0.996714(T).jpg-480 新结果：0.9965280294418335.jpg
1625748170390- 结果：0.996714(T).jpg-480 新结果：0.997805118560791.jpg
1625748170439- 结果：0.997254(T).jpg-480 新结果：0.9872384071350098.jpg
1625748188892- 结果：2.010000000E-4(D).jpg-480 新结果：6.6759435867425050000000E-5.jpg
1625748188943- 结果：8.10000000E-5(T).jpg-480 新结果：8.8481072452850640000000E-5.jpg
1625748188993- 结果：8.10000000E-5(T).jpg-480 新结果：5.44617141713388260000000E-5.jpg
1625748189043- 结果：5.70000000E-5(T).jpg-480 新结果：5.4146792535902930000000E-5.jpg
1625748189095- 结果：6.30000000E-5(T).jpg-480 新结果：5.4146792535902930000000E-5.jpg
1625748197002- 结果：0.096204(D).jpg-480 新结果：0.09197752177715302.jpg
1625748197057- 结果：0.094708(T).jpg-480 新结果：0.3137935996055603.jpg
1625748197107- 结果：0.346445(T).jpg-480 新结果：0.27416545152664185.jpg
1625748197157- 结果：0.296711(T).jpg-480 新结果：0.27416545152664185.jpg
1625748197208- 结果：0.189385(T).jpg-480 新结果：0.1642671823501587.jpg
1625748206470- 结果：0.385927(D).jpg-480 新结果：0.3408695459365845.jpg
1625748206532- 结果：0.3556(T).jpg-480 新结果：0.3998759984970093.jpg
1625748206585- 结果：0.373154(T).jpg-480 新结果：0.30834144353866577.jpg
1625748206636- 结果：0.323899(T).jpg-480 新结果：0.31680384278297424.jpg
1625748206686- 结果：0.358337(T).jpg-480 新结果：0.31680384278297424.jpg
1625748214940- 结果：0.152552(D).jpg-480 新结果：0.05679749324917793.jpg
1625748214993- 结果：0.048104(T).jpg-480 新结果：0.05821555480360985.jpg
1625748215042- 结果：0.048104(T).jpg-480 新结果：0.036453306674957275.jpg
1625748215092- 结果：0.052678(T).jpg-480 新结果：0.042747631669044495.jpg
1625748215140- 结果：0.047285(T).jpg-480 新结果：0.042747631669044495.jpg
1625748233808- 结果：0.026351(D).jpg-480 新结果：0.028531841933727264.jpg
1625748242337- 结果：0.08616(D).jpg-480 新结果：0.013629522174596786.jpg
1625748242388- 结果：0.003355(T).jpg-480 新结果：0.006024322006851435.jpg
1625748242438- 结果：0.003355(T).jpg-480 新结果：0.0054090023040771484.jpg
1625748242489- 结果：0.005291(T).jpg-480 新结果：0.003775889752432704.jpg
1625748242539- 结果：0.003363(T).jpg-480 新结果：0.003775889752432704.jpg
1625748250658- 结果：0.982673(D).jpg-480 新结果：0.7909830808639526.jpg
1625748250711- 结果：0.960026(T).jpg-480 新结果：0.9572004675865173.jpg
1625748250760- 结果：0.960026(T).jpg-480 新结果：0.9322254061698914.jpg
1625748250809- 结果：0.933435(T).jpg-480 新结果：0.896560788154602.jpg
1625748250857- 结果：0.955314(T).jpg-480 新结果：0.896560788154602.jpg
1625748268573- 结果：0.009583(D).jpg-480 新结果：0.004855898208916187.jpg
1625748268624- 结果：0.004979(T).jpg-480 新结果：0.004219610244035721.jpg
1625748268672- 结果：0.004712(T).jpg-480 新结果：0.0017349726986140013.jpg
1625748268721- 结果：0.002098(T).jpg-480 新结果：0.0017349726986140013.jpg
1625748268771- 结果：0.002098(T).jpg-480 新结果：7.3662423528730870000000E-4.jpg
1625748277851- 结果：0.858499(D).jpg-480 新结果：0.48117417097091675.jpg
1625748277909- 结果：0.470374(T).jpg-480 新结果：0.5238966941833496.jpg
1625748277961- 结果：0.53033(T).jpg-480 新结果：0.5184451937675476.jpg
1625748278014- 结果：0.573205(T).jpg-480 新结果：0.5891752243041992.jpg
1625748278066- 结果：0.70226(T).jpg-480 新结果：0.5891752243041992.jpg
1625748286813- 结果：0.391952(D).jpg-480 新结果：0.19195079803466797.jpg
1625748286871- 结果：0.229559(T).jpg-480 新结果：0.22393007576465607.jpg
1625748286922- 结果：0.213253(T).jpg-480 新结果：0.22393007576465607.jpg
1625748286974- 结果：0.027807(T).jpg-480 新结果：0.035622771829366684.jpg
1625748287026- 结果：0.027807(T).jpg-480 新结果：0.05262794718146324.jpg
1625748295682- 结果：0.922824(D).jpg-480 新结果：0.9736162424087524.jpg
1625748295738- 结果：0.980469(T).jpg-480 新结果：0.9823592901229858.jpg
1625748295786- 结果：0.98309(T).jpg-480 新结果：0.9823592901229858.jpg
1625748295835- 结果：0.986091(T).jpg-480 新结果：0.9723354578018188.jpg
1625748295883- 结果：0.986091(T).jpg-480 新结果：0.9766536951065063.jpg
1625748314786- 结果：0.008947(D).jpg-480 新结果：0.0012040752917528152.jpg
1625748314845- 结果：0.002411(T).jpg-480 新结果：0.001817928976379335.jpg
1625748314901- 结果：0.001146(T).jpg-480 新结果：9.6772582037374380000000E-4.jpg
1625748314956- 结果：0.001146(T).jpg-480 新结果：7.7710859477519990000000E-4.jpg
1625748315009- 结果：0.001028(T).jpg-480 新结果：5.0145911518484350000000E-4.jpg
1625748322854- 结果：0.205504(D).jpg-480 新结果：0.13938294351100922.jpg
1625748322905- 结果：0.125606(T).jpg-480 新结果：0.13938294351100922.jpg
1625748322953- 结果：0.050914(T).jpg-480 新结果：0.06343266367912292.jpg
1625748323002- 结果：0.050914(T).jpg-480 新结果：0.05919903516769409.jpg
1625748323051- 结果：0.06604(T).jpg-480 新结果：0.02933133952319622.jpg
1625748324987- 结果：0.018668(D).jpg-480 新结果：0.017059843987226486.jpg
1625748325043- 结果：0.008543(T).jpg-480 新结果：0.010189298540353775.jpg
1625748325096- 结果：0.014091(T).jpg-480 新结果：0.02489156648516655.jpg
1625748325150- 结果：0.014091(T).jpg-480 新结果：0.013559196144342422.jpg
1625748325203- 结果：0.018693(T).jpg-480 新结果：0.013312953524291515.jpg
1625748325535- 结果：0.006756(D).jpg-480 新结果：0.010189288295805454.jpg
1625748325597- 结果：0.006053(T).jpg-480 新结果：0.014325052499771118.jpg
1625748325651- 结果：0.019104(T).jpg-480 新结果：0.011617996729910374.jpg
1625748325703- 结果：0.009181(T).jpg-480 新结果：0.011617996729910374.jpg
1625748325756- 结果：0.009181(T).jpg-480 新结果：0.012229643762111664.jpg
1625748326362- 结果：0.009517(D).jpg-480 新结果：0.00936518982052803.jpg
1625748326419- 结果：0.007197(T).jpg-480 新结果：0.007981805130839348.jpg
1625748332843- 结果：0.114857(D).jpg-480 新结果：0.001039661467075348.jpg
1625748332899- 结果：5.60000000E-4(T).jpg-480 新结果：6.6570984199643140000000E-4.jpg
1625748332951- 结果：1.870000000E-4(T).jpg-480 新结果：2.41805042605847120000000E-4.jpg
1625748333002- 结果：1.870000000E-4(T).jpg-480 新结果：1.45639321999624370000000E-4.jpg
1625748333054- 结果：1.150000000E-4(T).jpg-480 新结果：4.17653209296986460000000E-5.jpg
1625748342000- 结果：0.070481(D).jpg-480 新结果：0.007347769569605589.jpg
1625748342060- 结果：0.004483(T).jpg-480 新结果：0.003037789138033986.jpg
1625748342114- 结果：0.002637(T).jpg-480 新结果：0.005135669838637114.jpg
1625748342168- 结果：0.003527(T).jpg-480 新结果：0.005135669838637114.jpg
1625748342221- 结果：0.002648(T).jpg-480 新结果：0.002508169272914529.jpg
1625748344612- 结果：0.00247(D).jpg-480 新结果：0.0027687987312674522.jpg
1625748344667- 结果：0.001861(T).jpg-480 新结果：0.0016872279811650515.jpg
1625748349774- 结果：0.267672(D).jpg-480 新结果：0.058838918805122375.jpg
1625748349825- 结果：0.075536(T).jpg-480 新结果：0.058838918805122375.jpg
1625748349874- 结果：0.152075(T).jpg-480 新结果：0.12461090087890625.jpg
1625748349925- 结果：0.152075(T).jpg-480 新结果：0.12962158024311066.jpg
1625748349975- 结果：0.135723(T).jpg-480 新结果：0.12962158024311066.jpg
1625748358781- 结果：0.00931(D).jpg-480 新结果：0.0030679006595164537.jpg
1625748358837- 结果：0.002922(T).jpg-480 新结果：0.0012743460247293115.jpg
1625748358885- 结果：0.00247(T).jpg-480 新结果：0.0012743460247293115.jpg
1625748358933- 结果：0.00247(T).jpg-480 新结果：0.0017624972388148308.jpg
1625748358981- 结果：0.002262(T).jpg-480 新结果：0.0011493084020912647.jpg
1625748370681- 结果：0.233097(D).jpg-480 新结果：0.02889142371714115.jpg
1625748376845- 结果：0.413863(D).jpg-480 新结果：0.3075455129146576.jpg
1625748376904- 结果：0.323918(T).jpg-480 新结果：0.175897479057312.jpg
1625748376954- 结果：0.180452(T).jpg-480 新结果：0.175897479057312.jpg
1625748377004- 结果：0.123624(T).jpg-480 新结果：0.10699509084224701.jpg
1625748377055- 结果：0.123624(T).jpg-480 新结果：0.12863554060459137.jpg
1625748395354- 结果：0.961957(D).jpg-480 新结果：0.9453942775726318.jpg
1625748395407- 结果：0.943949(T).jpg-480 新结果：0.9068659543991089.jpg
1625748395457- 结果：0.943949(T).jpg-480 新结果：0.897473931312561.jpg
1625748395508- 结果：0.933698(T).jpg-480 新结果：0.8794662952423096.jpg
1625748395558- 结果：0.824216(T).jpg-480 新结果：0.8794662952423096.jpg
1625748404796- 结果：0.645325(D).jpg-480 新结果：0.03034481406211853.jpg
1625748404850- 结果：0.033021(T).jpg-480 新结果：0.03391724452376366.jpg
1625748404902- 结果：0.035447(T).jpg-480 新结果：0.0346280075609684.jpg
1625748404953- 结果：0.049989(T).jpg-480 新结果：0.0346280075609684.jpg
1625748405003- 结果：0.050359(T).jpg-480 新结果：0.0319393165409565.jpg
1625748414088- 结果：0.02238(D).jpg-480 新结果：0.0014001985546201468.jpg
1625748414142- 结果：0.00181(T).jpg-480 新结果：0.0014001985546201468.jpg
1625748414192- 结果：0.001936(T).jpg-480 新结果：0.001518314704298973.jpg
1625748414245- 结果：0.001936(T).jpg-480 新结果：0.0016209040768444538.jpg
1625748414296- 结果：0.00163(T).jpg-480 新结果：8.2702015060931440000000E-4.jpg
1625748432110- 结果：0.968135(D).jpg-480 新结果：0.8592504262924194.jpg
1625748432168- 结果：0.871136(T).jpg-480 新结果：0.888930082321167.jpg
1625748432220- 结果：0.90453(T).jpg-480 新结果：0.9157048463821411.jpg
1625748432277- 结果：0.929726(T).jpg-480 新结果：0.9157048463821411.jpg
1625748432328- 结果：0.941931(T).jpg-480 新结果：0.9292353391647339.jpg
1625748440926- 结果：0.965392(D).jpg-480 新结果：0.979127049446106.jpg
1625748440984- 结果：0.96786(T).jpg-480 新结果：0.9595686197280884.jpg
1625748441035- 结果：0.96786(T).jpg-480 新结果：0.9892503023147583.jpg
1625748441087- 结果：0.993039(T).jpg-480 新结果：0.9917932748794556.jpg
1625748441138- 结果：0.991674(T).jpg-480 新结果：0.9917932748794556.jpg
1625748443080- 结果：0.993749(D).jpg-480 新结果：0.9887862801551819.jpg
1625748443449- 结果：0.989345(D).jpg-480 新结果：0.9897818565368652.jpg
1625748444125- 结果：0.987708(D).jpg-480 新结果：0.990760087966919.jpg
1625748444185- 结果：0.986207(T).jpg-480 新结果：0.9895984530448914.jpg
1625748444435- 结果：0.986207(D).jpg-480 新结果：0.9927414059638977.jpg
1625748444496- 结果：0.993462(T).jpg-480 新结果：0.9849040508270264.jpg
1625748450789- 结果：0.535654(D).jpg-480 新结果：0.16070091724395752.jpg
1625748450841- 结果：0.190523(T).jpg-480 新结果：0.1645917296409607.jpg
1625748450895- 结果：0.163647(T).jpg-480 新结果：0.15977250039577484.jpg
1625748450945- 结果：0.176302(T).jpg-480 新结果：0.1655714213848114.jpg
1625748450994- 结果：0.126006(T).jpg-480 新结果：0.1655714213848114.jpg
1625748459595- 结果：0.120499(D).jpg-480 新结果：0.005365632474422455.jpg
1625748459648- 结果：0.003022(T).jpg-480 新结果：0.0026607452891767025.jpg
1625748459699- 结果：0.003022(T).jpg-480 新结果：0.0029375660233199596.jpg
1625748459751- 结果：0.00316(T).jpg-480 新结果：8.0519763287156820000000E-4.jpg
1625748459801- 结果：9.90000000E-4(T).jpg-480 新结果：8.0519763287156820000000E-4.jpg
1625748469215- 结果：0.538342(D).jpg-480 新结果：0.7411657571792603.jpg
1625748469269- 结果：0.759571(T).jpg-480 新结果：0.7843650579452515.jpg
1625748469320- 结果：0.745585(T).jpg-480 新结果：0.7843650579452515.jpg
1625748469371- 结果：0.702206(T).jpg-480 新结果：0.6488556861877441.jpg
1625748469421- 结果：0.702206(T).jpg-480 新结果：0.6934658288955688.jpg
1625748478117- 结果：0.059022(D).jpg-480 新结果：0.0052069975063204765.jpg
1625748478169- 结果：0.003672(T).jpg-480 新结果：0.004605477210134268.jpg
1625748478220- 结果：0.003672(T).jpg-480 新结果：0.004260112997144461.jpg
1625748478271- 结果：0.003955(T).jpg-480 新结果：0.0034565781243145466.jpg
1625748478321- 结果：0.003364(T).jpg-480 新结果：0.0034565781243145466.jpg
1625748487638- 结果：0.076821(D).jpg-480 新结果：0.002928472124040127.jpg
1625748487693- 结果：0.003176(T).jpg-480 新结果：0.0034712033811956644.jpg
1625748487748- 结果：0.003451(T).jpg-480 新结果：0.02222944051027298.jpg
1625748487801- 结果：0.027628(T).jpg-480 新结果：0.012412630952894688.jpg
1625748487853- 结果：0.016658(T).jpg-480 新结果：0.012412630952894688.jpg
1625748495834- 结果：0.37246(D).jpg-480 新结果：0.3828091025352478.jpg
1625748495884- 结果：0.371085(T).jpg-480 新结果：0.4094970226287842.jpg
1625748495932- 结果：0.453144(T).jpg-480 新结果：0.43107670545578003.jpg
1625748495981- 结果：0.416208(T).jpg-480 新结果：0.43107670545578003.jpg
1625748496032- 结果：0.416208(T).jpg-480 新结果：0.5006466507911682.jpg
1625748505916- 结果：0.667805(D).jpg-480 新结果：0.8698992133140564.jpg
1625748505970- 结果：0.883586(T).jpg-480 新结果：0.9445891380310059.jpg
1625748506023- 结果：0.883586(T).jpg-480 新结果：0.9245179891586304.jpg
1625748506077- 结果：0.917787(T).jpg-480 新结果：0.716918408870697.jpg
1625748506130- 结果：0.713924(T).jpg-480 新结果：0.6837541460990906.jpg
1625748514243- 结果：0.692137(D).jpg-480 新结果：0.9375725984573364.jpg
1625748514298- 结果：0.972908(T).jpg-480 新结果：0.9584469199180603.jpg
1625748514349- 结果：0.972908(T).jpg-480 新结果：0.9867504239082336.jpg
1625748514400- 结果：0.985462(T).jpg-480 新结果：0.9945377111434937.jpg
1625748514451- 结果：0.994646(T).jpg-480 新结果：0.9945377111434937.jpg
1625748523704- 结果：0.641182(D).jpg-480 新结果：0.2581878900527954.jpg
1625748523764- 结果：0.287856(T).jpg-480 新结果：0.24962374567985535.jpg
1625748523817- 结果：0.287856(T).jpg-480 新结果：0.22934067249298096.jpg
1625748523870- 结果：0.268097(T).jpg-480 新结果：0.2084963470697403.jpg
1625748523923- 结果：0.213421(T).jpg-480 新结果：0.21294987201690674.jpg
1625748532677- 结果：0.58771(D).jpg-480 新结果：0.8285365700721741.jpg
1625748532737- 结果：0.839476(T).jpg-480 新结果：0.6454991698265076.jpg
1625748532789- 结果：0.631293(T).jpg-480 新结果：0.6967973709106445.jpg
1625748532840- 结果：0.710728(T).jpg-480 新结果：0.6967973709106445.jpg
1625748532893- 结果：0.605637(T).jpg-480 新结果：0.5786890983581543.jpg
1625748542834- 结果：0.001053(D).jpg-480 新结果：4.12756809964776040000000E-4.jpg
1625748542887- 结果：0.001043(T).jpg-480 新结果：8.9474499691277740000000E-4.jpg
1625748542937- 结果：0.001043(T).jpg-480 新结果：0.0013860948383808136.jpg
1625748542988- 结果：0.001604(T).jpg-480 新结果：6.3749874243512750000000E-4.jpg
1625748543037- 结果：9.140000000E-4(T).jpg-480 新结果：6.3749874243512750000000E-4.jpg
1625748551124- 结果：0.260641(D).jpg-480 新结果：0.10460000485181808.jpg
1625748551176- 结果：0.11797(T).jpg-480 新结果：0.10460000485181808.jpg
1625748551223- 结果：0.108176(T).jpg-480 新结果：0.09727095067501068.jpg
1625748551270- 结果：0.108176(T).jpg-480 新结果：0.6529524326324463.jpg
1625748551319- 结果：0.671271(T).jpg-480 新结果：0.6540066599845886.jpg
1625748560171- 结果：0.08867(D).jpg-480 新结果：0.05525197461247444.jpg
1625748560224- 结果：0.070907(T).jpg-480 新结果：0.024009671062231064.jpg
1625748560274- 结果：0.070907(T).jpg-480 新结果：0.050051309168338776.jpg
1625748560325- 结果：0.098579(T).jpg-480 新结果：0.0520000122487545.jpg
1625748560376- 结果：0.085313(T).jpg-480 新结果：0.036081068217754364.jpg
1625748569892- 结果：0.983685(D).jpg-480 新结果：0.9363914728164673.jpg
1625748569947- 结果：0.979252(T).jpg-480 新结果：0.9724247455596924.jpg
1625748570000- 结果：0.979252(T).jpg-480 新结果：0.9903038144111633.jpg
1625748570054- 结果：0.985691(T).jpg-480 新结果：0.9896142482757568.jpg
1625748570106- 结果：0.987903(T).jpg-480 新结果：0.9797991514205933.jpg
1625748570960- 结果：0.994065(D).jpg-480 新结果：0.9929032921791077.jpg
1625748571024- 结果：0.994036(T).jpg-480 新结果：0.9936034679412842.jpg
1625748571075- 结果：0.989195(T).jpg-480 新结果：0.9884718656539917.jpg
1625748571126- 结果：0.989195(T).jpg-480 新结果：0.996493935585022.jpg
1625748571183- 结果：0.996052(T).jpg-480 新结果：0.9968820810317993.jpg
1625748572019- 结果：0.989676(D).jpg-480 新结果：0.9854854345321655.jpg
1625748572074- 结果：0.984457(T).jpg-480 新结果：0.9858202934265137.jpg
1625748572126- 结果：0.984457(T).jpg-480 新结果：0.9892668724060059.jpg
1625748572179- 结果：0.994374(T).jpg-480 新结果：0.9867194890975952.jpg
1625748572232- 结果：0.985968(T).jpg-480 新结果：0.9960776567459106.jpg
1625748573101- 结果：0.980732(D).jpg-480 新结果：0.9902859926223755.jpg
1625748573159- 结果：0.991378(T).jpg-480 新结果：0.9905247092247009.jpg
1625748573212- 结果：0.989821(T).jpg-480 新结果：0.9932988882064819.jpg
1625748573266- 结果：0.989821(T).jpg-480 新结果：0.994552731513977.jpg
1625748578617- 结果：0.990391(D).jpg-480 新结果：0.9948293566703796.jpg
1625748578683- 结果：0.995058(T).jpg-480 新结果：0.9930568933486938.jpg
1625748578736- 结果：0.995058(T).jpg-480 新结果：0.9964437484741211.jpg
1625748578787- 结果：0.997151(T).jpg-480 新结果：0.9927757978439331.jpg
1625748578838- 结果：0.99418(T).jpg-480 新结果：0.9894711971282959.jpg
1625748588280- 结果：0.041792(D).jpg-480 新结果：4.34867513831704850000000E-4.jpg
1625748588344- 结果：1.310000000E-4(T).jpg-480 新结果：1.4199889847077430000000E-4.jpg
1625748588396- 结果：6.40000000E-5(T).jpg-480 新结果：5.87452741456218060000000E-5.jpg
1625748588449- 结果：6.40000000E-5(T).jpg-480 新结果：5.4118139814818280000000E-5.jpg
1625748588501- 结果：4.40000000E-5(T).jpg-480 新结果：5.4118139814818280000000E-5.jpg
1625748606761- 结果：0.501819(D).jpg-480 新结果：0.3042812943458557.jpg
1625748606817- 结果：0.32652(T).jpg-480 新结果：0.4629257917404175.jpg
1625748606867- 结果：0.483637(T).jpg-480 新结果：0.4629257917404175.jpg
1625748606919- 结果：0.483637(T).jpg-480 新结果：0.4364511966705322.jpg
1625748606970- 结果：0.460211(T).jpg-480 新结果：0.36169561743736267.jpg
1625748615280- 结果：0.251482(D).jpg-480 新结果：0.056308090686798096.jpg
1625748615335- 结果：0.004469(T).jpg-480 新结果：0.004685990046709776.jpg
1625748615386- 结果：0.003497(T).jpg-480 新结果：0.0032053133472800255.jpg
1625748615435- 结果：0.003497(T).jpg-480 新结果：0.0050439899787306786.jpg
1625748615485- 结果：0.003849(T).jpg-480 新结果：0.005731681361794472.jpg
1625748625037- 结果：0.515161(D).jpg-480 新结果：0.6214025020599365.jpg
1625748625099- 结果：0.604944(T).jpg-480 新结果：0.6485992670059204.jpg
1625748625152- 结果：0.683987(T).jpg-480 新结果：0.6485992670059204.jpg
1625748625205- 结果：0.32527(T).jpg-480 新结果：0.42313987016677856.jpg
1625748625256- 结果：0.376505(T).jpg-480 新结果：0.2726679742336273.jpg
1625748633851- 结果：0.557226(D).jpg-480 新结果：0.6621729135513306.jpg
1625748633907- 结果：0.623934(T).jpg-480 新结果：0.5862544775009155.jpg
1625748633958- 结果：0.532186(T).jpg-480 新结果：0.5358210802078247.jpg
1625748634009- 结果：0.528434(T).jpg-480 新结果：0.5358210802078247.jpg
1625748634060- 结果：0.509164(T).jpg-480 新结果：0.5650949478149414.jpg
1625748643147- 结果：0.887121(D).jpg-480 新结果：0.5351771116256714.jpg
1625748643202- 结果：0.68456(T).jpg-480 新结果：0.6887794733047485.jpg
1625748643251- 结果：0.762106(T).jpg-480 新结果：0.7212625741958618.jpg
1625748643302- 结果：0.762106(T).jpg-480 新结果：0.9432104825973511.jpg
1625748643354- 结果：0.965196(T).jpg-480 新结果：0.9544962644577026.jpg
1625748653588- 结果：0.682194(D).jpg-480 新结果：0.5391489267349243.jpg
1625748653643- 结果：0.610053(T).jpg-480 新结果：0.4789498746395111.jpg
1625748653696- 结果：0.610053(T).jpg-480 新结果：0.617379903793335.jpg
1625748653749- 结果：0.573417(T).jpg-480 新结果：0.617379903793335.jpg
1625748653801- 结果：0.421317(T).jpg-480 新结果：0.3870086371898651.jpg
1625748662537- 结果：0.008313(D).jpg-480 新结果：0.022656109184026718.jpg
1625748662596- 结果：0.023462(T).jpg-480 新结果：0.022656109184026718.jpg
1625748662650- 结果：0.01623(T).jpg-480 新结果：0.020615339279174805.jpg
