1625740042068- 结果：0.679363(T).jpg0.5
1625740262839- 结果：0.994231(T).jpg1.0
1625740262893- 结果：0.995304(T).jpg1.0
1625740262946- 结果：0.995304(T).jpg1.0
1625740264137- 结果：0.994552(D).jpg0.99
1625740264198- 结果：0.985319(T).jpg0.99
1625740264251- 结果：0.9814(T).jpg0.99
1625740264303- 结果：0.980986(T).jpg0.99
1625740264354- 结果：0.98885(T).jpg1.0
1625740266628- 结果：0.983577(D).jpg0.98
1625740266699- 结果：0.977802(T).jpg0.99
1625740266756- 结果：0.977802(T).jpg0.98
1625740283227- 结果：0.578652(D).jpg0.93
1625740283287- 结果：0.559068(T).jpg0.71
1625740283339- 结果：0.559068(T).jpg0.7
1625740283390- 结果：0.847469(T).jpg0.72
1625740283441- 结果：0.819625(T).jpg0.72
1625740286098- 结果：0.763552(D).jpg1.0
1625740286159- 结果：0.95793(T).jpg1.0
1625740286210- 结果：0.805117(T).jpg1.0
1625740286261- 结果：0.805117(T).jpg1.0
1625740286312- 结果：0.824549(T).jpg1.0
1625740289442- 结果：0.468109(D).jpg1.0
1625740289498- 结果：0.916161(T).jpg1.0
1625740289548- 结果：0.794398(T).jpg1.0
1625740289599- 结果：0.794398(T).jpg1.0
1625740289650- 结果：0.601456(T).jpg1.0
1625740290780- 结果：0.404756(D).jpg1.0
1625740290837- 结果：0.915652(T).jpg1.0
1625740290888- 结果：0.747825(T).jpg1.0
1625740290938- 结果：0.720159(T).jpg1.0
1625740290989- 结果：0.720159(T).jpg1.0
1625740292258- 结果：0.560453(D).jpg1.0
1625740311128- 结果：0.561678(T).jpg0.92
1625740311179- 结果：0.630068(T).jpg0.97
1625740311231- 结果：0.512638(T).jpg0.97
1625740312610- 结果：0.790362(D).jpg0.97
1625740312664- 结果：0.907823(T).jpg0.92
1625740312716- 结果：0.882699(T).jpg0.72
1625740312767- 结果：0.889702(T).jpg0.72
1625740312817- 结果：0.715671(T).jpg0.87
1625740314391- 结果：0.925511(D).jpg0.99
1625740314447- 结果：0.995105(T).jpg1.0
1625740314500- 结果：0.995392(T).jpg1.0
1625740314552- 结果：0.990527(T).jpg1.0
1625740314609- 结果：0.994545(T).jpg1.0
1625740315790- 结果：0.6662(D).jpg1.0
1625740321163- 结果：0.986793(T).jpg0.94
1625740321217- 结果：0.986022(T).jpg0.94
1625740321268- 结果：0.968796(T).jpg0.95
1625740323011- 结果：0.49274(D).jpg0.96
1625740323064- 结果：0.723574(T).jpg0.86
1625740323115- 结果：0.723574(T).jpg0.92
1625740323166- 结果：0.731447(T).jpg0.98
1625740323217- 结果：0.680804(T).jpg0.98
1625740324976- 结果：0.777596(D).jpg0.98
1625740325030- 结果：0.680342(T).jpg0.99
1625740325080- 结果：0.57124(T).jpg0.99
1625740325131- 结果：0.508217(T).jpg0.98
1625740325181- 结果：0.508217(T).jpg0.99
1625740327363- 结果：0.386811(D).jpg0.65
1625740327419- 结果：0.924255(T).jpg0.65
1625740327470- 结果：0.914317(T).jpg0.91
1625740327520- 结果：0.914317(T).jpg0.78
1625740327571- 结果：0.944858(T).jpg0.83
1625740328788- 结果：0.556477(D).jpg0.86
1625740328853- 结果：0.840541(T).jpg0.94
1625740328905- 结果：0.786754(T).jpg0.95
1625740328956- 结果：0.509926(T).jpg0.99
1625740329006- 结果：0.808237(T).jpg0.99
1625740266864- 结果：0.985685(T).jpg1.0
1625740268316- 结果：0.995553(D).jpg0.59
1625740268370- 结果：0.996388(T).jpg0.59
1625740268423- 结果：0.989377(T).jpg0.87
1625740268475- 结果：0.989377(T).jpg0.59
1625740268528- 结果：0.995667(T).jpg0.83
1625740274042- 结果：0.999562(D).jpg0.99
1625740274097- 结果：0.996219(T).jpg0.95
1625740274148- 结果：0.996219(T).jpg1.0
1625740274199- 结果：0.99794(T).jpg1.0
1625740274250- 结果：0.997177(T).jpg1.0
1625740275529- 结果：0.900627(D).jpg0.99
1625740275585- 结果：0.878545(T).jpg0.98
1625740156980- 结果：0.468091(T).jpg0.7
1625740164115- 结果：0.783971(T).jpg0.95
1625740180557- 结果：0.993017(T).jpg1.0
1625740185854- 结果：0.861435(T).jpg1.0
1625740190882- 结果：0.991802(T).jpg1.0
1625740217131- 结果：0.945768(T).jpg0.88
1625740242279- 结果：0.999809(T).jpg1.0
1625740247332- 结果：0.999387(T).jpg1.0
1625740259702- 结果：0.515338(T).jpg0.81
1625740266811- 结果：0.991948(T).jpg0.99
1625740275639- 结果：0.788051(T).jpg0.98
1625740282337- 结果：0.417578(T).jpg1.0
1625740292419- 结果：0.875549(T).jpg1.0
1625740306214- 结果：0.502601(T).jpg0.87
1625740311076- 结果：0.561678(T).jpg0.98
1625740315845- 结果：0.569098(T).jpg1.0
1625740321111- 结果：0.917999(T).jpg0.88
1625740292473- 结果：0.875549(T).jpg1.0
1625740293629- 结果：0.339717(D).jpg1.0
1625740293686- 结果：0.85454(T).jpg1.0
1625740293739- 结果：0.873112(T).jpg1.0
1625740293793- 结果：0.873112(T).jpg1.0
1625740293845- 结果：0.800914(T).jpg1.0
1625740304589- 结果：0.882839(D).jpg0.89
1625740304645- 结果：0.860029(T).jpg1.0
1625740304696- 结果：0.94369(T).jpg1.0
1625740304752- 结果：0.934882(T).jpg1.0
1625740304803- 结果：0.934882(T).jpg1.0
1625740306107- 结果：0.494213(D).jpg0.99
1625740306162- 结果：0.455725(T).jpg0.99
1625740275691- 结果：0.971833(T).jpg1.0
1625740275742- 结果：0.971833(T).jpg1.0
1625740278894- 结果：0.143042(D).jpg0.11
1625740278948- 结果：0.303078(T).jpg0.09
1625740279050- 结果：0.317333(T).jpg0.05
1625740279101- 结果：0.439686(T).jpg0.05
1625740280498- 结果：0.156191(D).jpg1.0
1625740280555- 结果：0.554419(T).jpg1.0
1625740280606- 结果：0.554419(T).jpg1.0
1625740280659- 结果：0.576176(T).jpg1.0
1625740280710- 结果：0.564936(T).jpg1.0
1625740282127- 结果：0.688313(D).jpg1.0
1625740282183- 结果：0.404103(T).jpg1.0
1625740282234- 结果：0.537318(T).jpg1.0
1625740282284- 结果：0.417578(T).jpg0.99
1625740315897- 结果：0.582561(T).jpg1.0
1625740315948- 结果：0.707646(T).jpg0.99
1625740316000- 结果：0.707646(T).jpg0.99
1625740317497- 结果：0.747442(D).jpg0.97
1625740317552- 结果：0.622074(T).jpg0.97
1625740317602- 结果：0.576301(T).jpg0.98
1625740317653- 结果：0.576301(T).jpg0.99
1625740317704- 结果：0.688947(T).jpg0.98
1625740318887- 结果：0.335367(D).jpg1.0
1625740318942- 结果：0.482687(T).jpg0.99
1625740318993- 结果：0.482687(T).jpg1.0
1625740319045- 结果：0.524658(T).jpg0.99
1625740319095- 结果：0.472097(T).jpg0.99
1625740320616- 结果：0.744374(D).jpg0.3
1625740320998- 结果：0.88122(T).jpg0.76
1625740321060- 结果：0.891504(D).jpg0.87
1625740306264- 结果：0.502601(T).jpg0.88
1625740306321- 结果：0.517961(T).jpg0.92
1625740307587- 结果：0.226864(D).jpg0.98
1625740307644- 结果：0.694716(T).jpg0.94
1625740307696- 结果：0.592317(T).jpg0.94
1625740307748- 结果：0.56804(T).jpg0.99
1625740307799- 结果：0.56804(T).jpg0.93
1625740309502- 结果：0.739225(D).jpg0.98
1625740309560- 结果：0.782605(T).jpg0.98
1625740309611- 结果：0.814689(T).jpg0.99
1625740309663- 结果：0.814689(T).jpg0.99
1625740309714- 结果：0.67452(T).jpg0.99
1625740311021- 结果：0.591885(D).jpg0.86
